"","parameter","valueBkt","valueBnt"
"1","beta1","0.4897 (0.4658,0.5237)","0.4275 (0.408,0.4473)"
"2","beta2","-0.0013 (-0.0015,-0.0011)","-7e-04 (-8e-04,-6e-04)"
"3","beta3","0.1032 (0.0986,0.1079)","0.1235 (0.117,0.1305)"
"4","beta4","-0.0565 (-0.0712,-0.0451)","-0.0232 (-0.0328,-0.0134)"
"5","beta5","-0.0325 (-0.04,-0.025)","-0.0304 (-0.0405,-0.0205)"
"6","ctMax","19.4 (18.9,19.8)","19.3 (18.9,19.9)"
"7","eps","0.00053 (0.00047,0.00061)","0.00035 (0.00033,0.00038)"
"8","lInf","392 (356,429)","631 (556,724)"
"9","sigma","3.6 (3.4,3.8)","4.1 (3.9,4.2)"
"10","tOpt","12 (11.7,12.3)","13.2 (12.8,13.6)"
